"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:34:46.1096204","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: Name"
"10:34:46.1096293","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"10:34:46.1096371","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:46.1096442","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1096507","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}","SUCCESS","Desired Access: Read"
"10:34:46.1096615","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS",""
"10:34:46.1096671","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"10:34:46.1096728","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Name","SUCCESS","Type: REG_SZ, Length: 14, Data: System"
"10:34:46.1096791","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\ParentFolder","NAME NOT FOUND","Length: 90"
"10:34:46.1096994","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Description","NAME NOT FOUND","Length: 144"
"10:34:46.1097051","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RelativePath","NAME NOT FOUND","Length: 144"
"10:34:46.1097111","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\ParsingName","NAME NOT FOUND","Length: 144"
"10:34:46.1097170","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\InfoTip","NAME NOT FOUND","Length: 144"
"10:34:46.1097220","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LocalizedName","NAME NOT FOUND","Length: 144"
"10:34:46.1097272","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Icon","NAME NOT FOUND","Length: 144"
"10:34:46.1097423","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Security","NAME NOT FOUND","Length: 144"
"10:34:46.1097494","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\StreamResource","NAME NOT FOUND","Length: 144"
"10:34:46.1097547","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\StreamResourceType","NAME NOT FOUND","Length: 144"
"10:34:46.1097608","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LocalRedirectOnly","NAME NOT FOUND","Length: 16"
"10:34:46.1097667","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Roamable","NAME NOT FOUND","Length: 16"
"10:34:46.1097716","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\PreCreate","NAME NOT FOUND","Length: 16"
"10:34:46.1098011","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Stream","NAME NOT FOUND","Length: 16"
"10:34:46.1098069","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\PublishExpandedPath","NAME NOT FOUND","Length: 16"
"10:34:46.1098131","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\DefinitionFlags","NAME NOT FOUND","Length: 16"
"10:34:46.1098185","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\Attributes","NAME NOT FOUND","Length: 16"
"10:34:46.1098237","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\FolderTypeID","NAME NOT FOUND","Length: 90"
